old	new	class	confidence	alt_body_count	replacements	files	notes
- etym.	etym.	spacing	high	19	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='etym.' body_n=19
- gend.	gend.	spacing	high	5	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='gend.' body_n=5
- geom.	geom.	spacing	high	7	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='geom.' body_n=7
- gram.	gram.	spacing	high	182	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='gram.' body_n=182
- long.	long.	spacing	high	32	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='long.' body_n=32
- pers.	pers.	spacing	high	54	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='pers.' body_n=54
- phil.	phil.	spacing	high	125	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='phil.' body_n=125
- poet.	poet.	spacing	high	164	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='poet.' body_n=164
- s. v.	s. v.	spacing	high	174	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='s. v.' body_n=174
- scil.	scil.	spacing	high	365	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='scil.' body_n=365
- sing.	sing.	spacing	high	727	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='sing.' body_n=727
- Aor.	Aor.	spacing	high	469	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Aor.' body_n=469
- Dor.	Dor.	spacing	high	52	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Dor.' body_n=52
- Eng.	Eng.	spacing	high	109	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Eng.' body_n=109
- Fut.	Fut.	spacing	high	70	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Fut.' body_n=70
- Lat.	Lat.	spacing	high	834	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Lat.' body_n=834
- Mod.	Mod.	spacing	high	151	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Mod.' body_n=151
- Nir.	Nir.	spacing	med	4	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Nir.' body_n=4
- Par.	Par.	spacing	high	74	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Par.' body_n=74
- Pol.	Pol.	spacing	high	6	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Pol.' body_n=6
- Pāṇ.	Pāṇ.	spacing	high	723	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Pāṇ.' body_n=723
- Sax.	Sax.	spacing	high	369	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Sax.' body_n=369
- Say.	Say.	spacing	high	2373	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Say.' body_n=2373
- Ved.	Ved.	spacing	high	11989	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Ved.' body_n=11989
- adj.	adj.	spacing	high	207	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='adj.' body_n=207
- alg.	alg.	spacing	med	3	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='alg.' body_n=3
- esp.	esp.	spacing	med	1	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='esp.' body_n=1
- i.e.	i.e.	spacing	med	1	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='i.e.' body_n=1
- ind.	ind.	spacing	high	4502	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='ind.' body_n=4502
- neg.	neg.	spacing	med	2	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='neg.' body_n=2
- obs.	obs.	spacing	high	8	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='obs.' body_n=8
- usu.	usu.	spacing	med	3	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='usu.' body_n=3
- Æol.	Æol.	spacing	high	12	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Æol.' body_n=12
- &c.	&c.	spacing	high	6977	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='&c.' body_n=6977
- Br.	Br.	spacing	high	32	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Br.' body_n=32
- Gr.	Gr.	spacing	high	889	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Gr.' body_n=889
- Pp.	Pp.	spacing	high	17	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Pp.' body_n=17
- Pr.	Pr.	spacing	high	5	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='Pr.' body_n=5
- cf.	cf.	spacing	high	9307	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='cf.' body_n=9307
- cl.	cl.	spacing	high	6861	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='cl.' body_n=6861
- du.	du.	spacing	high	549	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='du.' body_n=549
- fr.	fr.	spacing	high	7660	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='fr.' body_n=7660
- pl.	pl.	spacing	high	2227	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='pl.' body_n=2227
- A.	-A.	spacing	med	1	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='-A.' body_n=1
- N.	-N.	spacing	med	2	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='-N.' body_n=2
- P.	-P.	spacing	high	118	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='-P.' body_n=118
- p.	-p.	spacing	high	118	2	mw72pref24.md:1; mw72pref24.ru.md:1	alt='-p.' body_n=118
